frameno;frametime;cir_pos;color
1977;0.0535027980804;"[(1169.5, 84.5), (999.5, 358.5)]";"[1, 1]"
1978;0.065395116806;"[(1208.5, 70.5), (1029.5, 353.5)]";"[1, 1]"
1979;0.063029050827;"[]";"[]"
1980;0.0747709274292;"[(1156.5, 381.5), (1096.5, 346.5)]";"[0, 1]"
1981;0.0533630847931;"[]";"[]"
1982;0.0638761520386;"[(13.5, 275.5), (1229.5, 371.5)]";"[1, 1]"
1983;0.0748820304871;"[(1108.5, 374.5), (41.5, 276.5)]";"[0, 1]"
1984;0.0870628356934;"[(73.5, 274.5), (1238.5, 338.5)]";"[1, 1]"
1985;0.0552549362183;"[(101.5, 277.5)]";"[1]"
1986;0.0658779144287;"[(131.5, 279.5)]";"[1]"
1987;0.0811450481415;"[(160.5, 281.5)]";"[1]"
1988;0.0823321342468;"[(191.5, 281.5)]";"[1]"
1989;0.0858919620514;"[(221.5, 281.5)]";"[1]"
1990;0.0879418849945;"[(253.5, 281.5)]";"[1]"
1991;0.0623199939728;"[(285.5, 286.5)]";"[1]"
1992;0.0841970443726;"[(374.5, 247.5), (312.5, 285.5)]";"[0, 1]"
1993;0.0861220359802;"[(344.5, 290.5)]";"[1]"
1994;0.0887558460236;"[(370.5, 286.5)]";"[1]"
1995;0.0555689334869;"[(400.5, 289.5)]";"[1]"
1996;0.0545179843903;"[(430.5, 291.5)]";"[1]"
1997;0.069591999054;"[(458.5, 292.5)]";"[1]"
1998;0.0590469837189;"[(479.5, 288.5)]";"[1]"
1999;0.0521550178528;"[(506.5, 287.5)]";"[1]"
2000;0.0678689479828;"[(527.5, 281.5)]";"[1]"
2001;0.0769059658051;"[(557.5, 279.5)]";"[1]"
2002;0.0917520523071;"[(580.5, 273.5)]";"[1]"
2003;0.0814690589905;"[(606.5, 275.5)]";"[1]"
2004;0.0601470470428;"[(637.5, 336.5), (634.5, 272.5)]";"[0, 1]"
2005;0.0791909694672;"[(534.5, 324.5), (658.5, 272.5)]";"[0, 1]"
2006;0.0598969459534;"[(684.5, 270.5)]";"[1]"
2007;0.0617299079895;"[(586.5, 326.5), (715.5, 267.5)]";"[0, 1]"
2008;0.0832509994507;"[(613.5, 328.5), (745.5, 267.5)]";"[0, 1]"
2009;0.0857269763947;"[(772.5, 269.5)]";"[1]"
2010;0.0917749404907;"[(884.5, 211.5), (669.5, 330.5), (803.5, 268.5)]";"[0, 0, 1]"
2011;0.0574541091919;"[(834.5, 268.5)]";"[1]"
2012;0.065623998642;"[(869.5, 269.5)]";"[1]"
2013;0.0667831897736;"[(848.5, 225.5)]";"[1]"
2014;0.055538892746;"[]";"[]"
2015;0.0505750179291;"[]";"[]"
2016;0.0704488754272;"[]";"[]"
2017;0.0518140792847;"[]";"[]"
2018;0.0646350383759;"[(1099.5, 311.5)]";"[0]"
2019;0.0736470222473;"[]";"[]"
2020;0.0763750076294;"[]";"[]"
2021;0.071900844574;"[]";"[]"
2022;0.0761480331421;"[]";"[]"
2023;0.0817630290985;"[]";"[]"
2024;0.0881428718567;"[]";"[]"
2025;0.0801968574524;"[]";"[]"
2026;0.0610530376434;"[]";"[]"
2027;0.050999879837;"[(442.5, 342.5)]";"[1]"
2028;0.062980890274;"[]";"[]"
2029;0.0508120059967;"[]";"[]"
2030;0.0692899227142;"[]";"[]"
2031;0.0655131340027;"[(30.5, 343.5)]";"[0]"
2032;0.0799028873444;"[(64.5, 340.5)]";"[0]"
2033;0.0887818336487;"[(98.5, 340.5), (64.5, 348.5)]";"[0, 1]"
2034;0.0810470581055;"[(135.5, 357.5)]";"[0]"
2035;0.0702579021454;"[(169.5, 363.5), (96.5, 340.5)]";"[0, 1]"
2036;0.0916621685028;"[(111.5, 333.5), (130.5, 347.5)]";"[0, 1]"
2037;0.0851669311523;"[(234.5, 373.5)]";"[0]"
2038;0.0910260677338;"[(177.5, 341.5), (195.5, 355.5)]";"[0, 1]"
2039;0.0784940719604;"[(209.5, 343.5)]";"[0]"
2040;0.0817179679871;"[(241.5, 340.5)]";"[0]"
2041;0.054958820343;"[(300.5, 330.5), (323.5, 362.5)]";"[0, 1]"
2042;0.0535798072815;"[(328.5, 324.5)]";"[0]"
2043;0.0509121417999;"[(354.5, 322.5), (40.5, 369.5)]";"[0, 0]"
2044;0.0662341117859;"[(381.5, 324.5), (370.5, 340.5)]";"[0, 1]"
2045;0.0785658359528;"[(408.5, 329.5), (430.5, 360.5)]";"[0, 1]"
2046;0.0843679904938;"[(432.5, 328.5), (123.5, 377.5)]";"[0, 0]"
2047;0.0659289360046;"[(479.5, 357.5)]";"[1]"
2048;0.0650930404663;"[(476.5, 324.5), (500.5, 355.5), (1058.5, 325.5)]";"[0, 1, 1]"
2049;0.0520610809326;"[(464.5, 323.5)]";"[0]"
2050;0.0681569576263;"[(534.5, 350.5)]";"[1]"
2051;0.0598559379578;"[(526.5, 321.5), (548.5, 351.5)]";"[0, 1]"
2052;0.0659840106964;"[(536.5, 332.5), (560.5, 360.5)]";"[0, 1]"
2053;0.0512280464172;"[(519.5, 341.5)]";"[0]"
2054;0.0717949867249;"[(562.5, 344.5), (258.5, 394.5), (69.5, 397.5)]";"[0, 0, 1]"
2055;0.0529129505157;"[(572.5, 347.5)]";"[0]"
2056;0.0662071704865;"[(551.5, 348.5)]";"[0]"
2057;0.0600309371948;"[(645.5, 365.5), (616.5, 374.5)]";"[0, 1]"
2058;0.0551719665527;"[(655.5, 363.5)]";"[0]"
2059;0.0669150352478;"[(664.5, 364.5), (635.5, 374.5)]";"[0, 1]"
2060;0.0843660831451;"[(622.5, 345.5)]";"[0]"
2061;0.0856730937958;"[(683.5, 369.5)]";"[0]"
2062;0.0609178543091;"[]";"[]"
2063;0.0509629249573;"[(649.5, 349.5), (670.5, 379.5)]";"[0, 1]"
2064;0.0700821876526;"[(656.5, 346.5), (156.5, 400.5)]";"[0, 0]"
2065;0.0504188537598;"[(664.5, 347.5)]";"[0]"
2066;0.0728509426117;"[(672.5, 348.5), (165.5, 404.5)]";"[0, 1]"
2067;0.0827279090881;"[(365.5, 398.5), (702.5, 376.5)]";"[0, 1]"
2068;0.092353105545;"[(652.5, 345.5), (708.5, 376.5)]";"[0, 1]"
2069;0.0854160785675;"[(715.5, 375.5)]";"[1]"
2070;0.0601508617401;"[(182.5, 402.5)]";"[1]"
2071;0.0602791309357;"[(699.5, 345.5), (183.5, 403.5)]";"[0, 1]"
2072;0.073881149292;"[]";"[]"
2073;0.0746800899506;"[(703.5, 349.5), (726.5, 381.5)]";"[0, 1]"
2074;0.0908679962158;"[(703.5, 351.5)]";"[0]"
2075;0.0841081142426;"[(703.5, 353.5)]";"[0]"
2076;0.0915529727936;"[(703.5, 354.5)]";"[0]"
2077;0.0547118186951;"[(734.5, 404.5)]";"[0]"
2078;0.0681710243225;"[(724.5, 386.5)]";"[1]"
2079;0.0525372028351;"[(699.5, 351.5), (164.5, 402.5)]";"[0, 1]"
2080;0.077821969986;"[(701.5, 350.5)]";"[0]"
2081;0.0862429141998;"[(701.5, 346.5), (500.5, 385.5)]";"[0, 1]"
2082;0.0584280490875;"[(700.5, 347.5)]";"[0]"
2083;0.0694758892059;"[(153.5, 396.5)]";"[1]"
2084;0.0901958942413;"[]";"[]"
2085;0.0805790424347;"[(724.5, 382.5)]";"[1]"
2086;0.0739870071411;"[(733.5, 399.5), (724.5, 381.5)]";"[0, 1]"
2087;0.052540063858;"[(689.5, 380.5)]";"[0]"
2088;0.0650310516357;"[(702.5, 349.5), (724.5, 382.5), (139.5, 397.5)]";"[0, 1, 1]"
2089;0.0807311534882;"[(702.5, 351.5), (724.5, 384.5)]";"[0, 1]"
2090;0.0568399429321;"[(689.5, 384.5), (724.5, 386.5)]";"[0, 1]"
2091;0.0500619411469;"[(701.5, 352.5)]";"[0]"
2092;0.0697209835052;"[(724.5, 386.5)]";"[1]"
2093;0.052316904068;"[(701.5, 352.5), (123.5, 399.5)]";"[0, 1]"
2094;0.0724511146545;"[(118.5, 397.5)]";"[1]"
