frameno;frametime;recarea;cir_pos;color
5065;0.131450176239;"1259247";"[]";"[]"
5066;0.0244169235229;"177600";"[(195, 396)]";"[0]"
5067;0.147395133972;"1303851";"[]";"[]"
5068;0.0227398872375;"177600";"[(195, 235), (411, 255)]";"[0, 0]"
5069;0.0239949226379;"177600";"[(420, 260)]";"[0]"
5070;0.0184190273285;"177600";"[(428, 264), (215, 245), (221, 417)]";"[0, 0, 0]"
5071;0.027116060257;"177600";"[(217, 250), (225, 419)]";"[0, 0]"
5072;0.120100975037;"1295178";"[]";"[]"
5073;0.0221118927002;"177600";"[(220, 255), (685, 404)]";"[0, 0]"
5074;0.0261940956116;"177600";"[(223, 259), (435, 276)]";"[0, 0]"
5075;0.0262219905853;"177600";"[(227, 262)]";"[0]"
5076;0.110980033875;"1249335";"[]";"[]"
5077;0.0162801742554;"177600";"[(438, 276), (226, 262)]";"[0, 0]"
5078;0.0216999053955;"177600";"[(214, 257)]";"[0]"
5079;0.0232479572296;"177600";"[(202, 248)]";"[0]"
5080;0.130286931992;"1237414";"[]";"[]"
5081;0.0610520839691;"177600";"[(669, 394)]";"[0]"
5082;0.0244941711426;"177600";"[(425, 264)]";"[0]"
5083;0.127959012985;"1549932";"[]";"[]"
5084;0.0340709686279;"177600";"[(228, 249), (442, 265)]";"[0, 0]"
5085;0.0277380943298;"116224";"[(236, 246)]";"[0]"
5086;0.0189681053162;"145680";"[(455, 259)]";"[0]"
5087;0.118615865707;"1129182";"[]";"[]"
5088;0.041494846344;"145680";"[(457, 257), (246, 238)]";"[0, 0]"
5089;0.106926202774;"932884";"[(703, 393)]";"[0]"
5090;0.0186750888824;"177600";"[(774, 469)]";"[1]"
5091;0.0382142066956;"177600";"[(240, 248), (453, 266)]";"[0, 0]"
5092;0.0310561656952;"116874";"[(235, 255)]";"[0]"
5093;0.0204219818115;"145440";"[(436, 282)]";"[0]"
5094;0.0215740203857;"145440";"[(213, 270), (428, 292)]";"[0, 0]"
5095;0.0209879875183;"145440";"[(426, 299), (213, 273)]";"[0, 0]"
5096;0.0205571651459;"145440";"[(230, 270), (440, 297)]";"[0, 0]"
5097;0.0202322006226;"145440";"[(257, 264)]";"[0]"
5098;0.019257068634;"145440";"[(277, 259)]";"[0]"
5099;0.0205109119415;"145440";"[(267, 251), (476, 274)]";"[0, 0]"
5100;0.0135378837585;"145440";"[(459, 265)]";"[0]"
5101;0.016233921051;"145440";"[(247, 235)]";"[0]"
5102;0.0123469829559;"145440";"[(260, 235)]";"[0]"
5103;0.0189979076385;"145440";"[(487, 255), (280, 235)]";"[0, 0]"
5104;0.0206279754639;"145440";"[(283, 233), (490, 252)]";"[0, 0]"
5105;0.0245728492737;"145440";"[(484, 249), (275, 230)]";"[0, 0]"
5106;0.110099077225;"1031206";"[]";"[]"
5107;0.0105490684509;"145440";"[(277, 224)]";"[0]"
5108;0.0101928710938;"145440";"[(289, 233), (494, 254)]";"[0, 0]"
5109;0.0131919384003;"145440";"[(508, 261)]";"[0]"
5110;0.0197579860687;"145440";"[(519, 263), (314, 247)]";"[0, 0]"
5111;0.0194480419159;"145440";"[(523, 265), (319, 250)]";"[0, 0]"
5112;0.0186700820923;"145440";"[(519, 267)]";"[0]"
5113;0.0126090049744;"145440";"[(509, 270), (304, 255)]";"[0, 0]"
5114;0.0183658599854;"145440";"[(500, 266)]";"[0]"
5115;0.0107710361481;"145440";"[(500, 265)]";"[0]"
5116;0.0202310085297;"145440";"[(294, 248), (499, 263)]";"[0, 0]"
5117;0.0186998844147;"145440";"[(289, 245)]";"[0]"
5118;0.0174989700317;"145440";"[(495, 257), (287, 242)]";"[0, 0]"
5119;0.0210571289062;"145440";"[(280, 238)]";"[0]"
5120;0.0786800384521;"1025088";"[]";"[]"
5121;0.0150558948517;"145440";"[(475, 261)]";"[0]"
5122;0.0199480056763;"145440";"[(475, 258)]";"[0]"
5123;0.0128648281097;"145440";"[(260, 233)]";"[0]"
5124;0.0183918476105;"145440";"[(460, 249)]";"[0]"
5125;0.0175619125366;"145440";"[(248, 231)]";"[0]"
5126;0.0206120014191;"145440";"[(255, 235), (466, 252)]";"[0, 0]"
5127;0.0179288387299;"145440";"[(470, 255)]";"[0]"
5128;0.109599113464;"1018752";"[]";"[]"
5129;0.0182549953461;"145440";"[(472, 254)]";"[0]"
5130;0.0123219490051;"145440";"[(260, 237)]";"[0]"
5131;0.0181789398193;"145440";"[(255, 231), (467, 246)]";"[0, 0]"
5132;0.0198349952698;"145440";"[(464, 242)]";"[0]"
5133;0.0207920074463;"145440";"[(464, 240), (253, 222)]";"[0, 0]"
5134;0.0194578170776;"145440";"[(249, 219)]";"[0]"
5135;0.0159890651703;"145440";"[(250, 218)]";"[0]"
5136;0.104203939438;"1017696";"[]";"[]"
5137;0.0942430496216;"1017696";"[]";"[]"
5138;0.0156791210175;"145440";"[(458, 239)]";"[0]"
5139;0.0202629566193;"145440";"[(244, 222), (457, 239)]";"[0, 0]"
5140;0.083872795105;"1014528";"[]";"[]"
5141;0.0160348415375;"145440";"[(246, 226)]";"[0]"
5142;0.0209040641785;"145440";"[(456, 241), (243, 226)]";"[0, 0]"
5143;0.104240179062;"1014528";"[]";"[]"
5144;0.0168890953064;"145440";"[(245, 225)]";"[0]"
5145;0.0189161300659;"145440";"[(245, 223)]";"[0]"
5146;0.0201210975647;"145440";"[(454, 232), (243, 216)]";"[0, 0]"
5147;0.0129699707031;"145440";"[(453, 228), (241, 212)]";"[0, 0]"
5148;0.016932964325;"145440";"[(248, 212)]";"[0]"
5149;0.0549139976501;"145440";"[(259, 383)]";"[0]"
5150;0.079393863678;"1215186";"[]";"[]"
5151;0.0261559486389;"151200";"[(251, 227), (462, 242)]";"[0, 0]"
5152;0.00828313827515;"115005";"[(460, 244)]";"[0]"
5153;0.0137059688568;"115005";"[(451, 244)]";"[0]"
5154;0.0172419548035;"115005";"[(444, 240)]";"[0]"
5155;0.0165019035339;"115005";"[(441, 239), (227, 221)]";"[0, 0]"
5156;0.0177450180054;"115005";"[(228, 217)]";"[0]"
5157;0.0147790908813;"115005";"[(226, 216)]";"[0]"
5158;0.0169379711151;"115005";"[(219, 215), (435, 235)]";"[0, 0]"
5159;0.0168797969818;"115005";"[(433, 237), (218, 217)]";"[0, 0]"
5160;0.0117599964142;"115005";"[(227, 221), (441, 240)]";"[0, 0]"
5161;0.0160229206085;"115005";"[(450, 250)]";"[0]"
5162;0.100603103638;"930513";"[]";"[]"
5163;0.0133211612701;"115005";"[(438, 259)]";"[0]"
5164;0.0122709274292;"115005";"[(430, 252), (214, 227)]";"[0, 0]"
5165;0.0150241851807;"115005";"[(208, 222)]";"[0]"
5166;0.0183160305023;"115005";"[(413, 246)]";"[0]"
5167;0.0186569690704;"115005";"[(402, 246)]";"[0]"
5168;0.108886003494;"957623";"[]";"[]"
5169;0.0159349441528;"115005";"[(411, 249)]";"[0]"
5170;0.00903701782227;"115005";"[(195, 228)]";"[0]"
