frameno;frametime;red_count;green_count;red_pos;green_pos
1165;0.00958299636841;0;1;"[]";"[(350.5, 114.5)]"
1166;0.0127999782562;0;1;"[]";"[(351.5, 113.5)]"
1167;0.00885605812073;0;1;"[]";"[(352.5, 114.5)]"
1168;0.347724914551;0;1;"[]";"[(352.5, 114.5)]"
1169;0.0135748386383;0;1;"[]";"[(351.5, 112.5)]"
1170;0.012659072876;0;1;"[]";"[(348.5, 111.5)]"
1171;0.0124340057373;0;1;"[]";"[(342.5, 110.5)]"
1172;0.012885093689;0;1;"[]";"[(342.5, 109.5)]"
1173;0.012745141983;0;1;"[]";"[(338.5, 110.5)]"
1174;0.0129840373993;0;1;"[]";"[(339.5, 110.5)]"
1175;0.0126428604126;0;1;"[]";"[(338.5, 110.5)]"
1176;0.0127148628235;0;1;"[]";"[(340.5, 108.5)]"
1177;0.0128629207611;0;1;"[]";"[(340.5, 109.5)]"
1178;0.012640953064;0;1;"[]";"[(106.5, 107.5)]"
1179;0.0126221179962;0;1;"[]";"[(342.5, 106.5)]"
1180;0.0130650997162;0;1;"[]";"[(342.5, 106.5)]"
1181;0.0120980739594;0;1;"[]";"[(343.5, 105.5)]"
1182;0.00846099853516;0;1;"[]";"[(341.5, 104.5)]"
1183;0.0128920078278;0;1;"[]";"[(340.5, 105.5)]"
1184;0.00839996337891;0;1;"[]";"[(336.5, 106.5)]"
1185;0.399610996246;0;1;"[]";"[(336.5, 106.5)]"
1186;0.00865483283997;0;1;"[]";"[(95.5, 107.5)]"
1187;0.0108580589294;0;2;"[]";"[(330.5, 106.5), (95.5, 107.5)]"
1188;0.00803017616272;0;2;"[]";"[(93.5, 106.5), (329.5, 106.5)]"
1189;0.012501001358;0;1;"[]";"[(329.5, 105.5)]"
1190;0.0127840042114;0;1;"[]";"[(329.5, 104.5)]"
1191;0.0122220516205;0;1;"[]";"[(328.5, 102.5)]"
1192;0.00840711593628;0;1;"[]";"[(328.5, 104.5)]"
1193;0.00872182846069;0;2;"[]";"[(329.5, 107.5), (89.5, 103.5)]"
1194;0.00710606575012;0;1;"[]";"[(328.5, 110.5)]"
1195;0.0115208625793;0;1;"[]";"[(329.5, 112.5)]"
1196;0.0125229358673;0;1;"[]";"[(329.5, 112.5)]"
1197;0.0126399993896;0;1;"[]";"[(331.5, 113.5)]"
