ann_cir;frameno;red_tp;green_tp;red_fp;green_fp;red_fn;green_fn;Frame;rfp_con;gfp_con;color
2;1640;1;0;0;0;0;0;True;0;0;0
2;1660;1;0;0;0;0;0;True;0;0;0
2;1680;1;0;0;0;0;0;True;0;0;0
2;1700;1;0;0;0;0;0;True;0;0;0
2;1720;0;0;0;0;2;0;False;0;0;0
2;1740;1;0;0;0;0;0;True;0;0;0
2;1760;2;0;0;0;0;0;True;0;0;0
2;1780;1;0;0;0;0;0;True;0;0;0
2;1800;1;0;0;0;0;0;True;0;0;0
2;1820;1;0;0;0;0;0;True;0;0;0
2;1840;2;0;0;0;0;0;True;0;0;0
2;1860;1;0;0;0;0;0;True;0;0;0
2;1880;1;0;0;0;0;0;True;0;0;0
2;1900;2;0;0;0;0;0;True;0;0;0
2;1920;1;0;0;0;0;0;True;0;0;0
2;1940;1;0;0;0;0;0;True;0;0;0
2;1960;1;0;0;0;0;0;True;0;0;0
2;1980;1;0;0;0;0;0;True;0;0;0
2;2000;1;0;0;0;0;0;True;0;0;0
2;2020;1;0;0;0;0;0;True;0;0;0
2;2040;1;0;0;0;0;0;True;0;0;0
2;2060;1;0;0;0;0;0;True;0;0;0
2;2080;1;0;0;0;0;0;True;0;0;0
2;2100;0;2;0;0;0;0;True;0;0;1
2;2120;0;1;0;0;0;0;True;0;0;1
2;2140;0;1;0;0;0;0;True;0;0;1
2;2160;0;1;0;0;0;0;True;0;0;1
2;2180;0;1;0;0;0;0;True;0;0;1
2;2200;0;2;0;0;0;0;True;0;0;1
2;2220;0;1;0;0;0;0;True;0;0;1
2;2240;0;2;0;0;0;0;True;0;0;1
2;2260;0;1;0;0;0;0;True;0;0;1
2;2280;0;1;0;0;0;0;True;0;0;1
2;2300;0;1;0;0;0;0;True;0;0;1
2;2320;0;1;0;0;0;0;True;0;0;1
2;2340;0;1;0;0;0;0;True;0;0;1
2;2360;0;2;0;0;0;0;True;0;0;1
2;2380;0;1;0;0;0;0;True;0;0;1
1;2400;0;1;0;0;0;0;True;0;0;1
1;2420;0;1;0;0;0;0;True;0;0;1
2;2440;0;0;0;0;0;2;False;0;0;1
2;2460;0;0;0;0;0;2;False;0;0;1
1;2480;0;0;0;0;0;1;False;0;0;1
1;2500;0;0;0;0;0;1;False;0;0;1
1;2520;0;0;0;0;0;1;False;0;0;1
1;2540;0;0;0;0;0;1;False;0;0;1
1;2560;0;0;0;0;0;1;False;0;0;1
1;2580;0;0;0;0;0;1;False;0;0;1
1;2600;0;0;0;0;0;1;False;0;0;1
1;2620;0;0;0;0;0;1;False;0;0;1
1;2640;0;0;0;0;0;1;False;0;0;1
1;2660;0;0;0;0;0;1;False;0;0;1
2;2960;2;0;0;0;0;0;True;0;0;0
2;2980;2;0;0;0;0;0;True;0;0;0
2;3000;1;0;0;0;0;0;True;0;0;0
2;3020;1;0;0;0;0;0;True;0;0;0
2;3040;1;0;0;0;0;0;True;0;0;0
2;3060;0;0;0;0;2;0;False;0;0;0
2;3080;1;0;0;0;0;0;True;0;0;0
2;3100;1;0;0;0;0;0;True;0;0;0
2;3120;2;0;0;0;0;0;True;0;0;0
2;3140;2;0;0;0;0;0;True;0;0;0
2;3160;2;0;0;0;0;0;True;0;0;0
2;3180;1;0;0;0;0;0;True;0;0;0
2;3200;1;0;0;0;0;0;True;0;0;0
2;3220;2;0;0;0;0;0;True;0;0;0
2;3240;1;0;0;0;0;0;True;0;0;0
2;3260;1;0;0;0;0;0;True;0;0;0
2;3280;0;0;0;0;2;0;False;0;0;0
2;3300;1;0;0;0;0;0;True;0;0;0
2;3320;2;0;0;0;0;0;True;0;0;0
2;3340;2;0;0;0;0;0;True;0;0;0
2;3360;2;0;0;0;0;0;True;0;0;0
2;3380;1;0;0;0;0;0;True;0;0;0
2;3400;2;0;0;0;0;0;True;0;0;0
2;3420;1;0;0;0;0;0;True;0;0;0
2;3440;1;0;0;0;0;0;True;0;0;0
2;3460;2;0;0;0;0;0;True;0;0;0
2;3480;0;1;0;0;0;0;True;0;0;1
2;3500;0;0;0;0;0;2;False;0;0;1
2;3520;0;0;0;0;0;2;False;0;0;1
2;3540;0;0;0;0;0;2;False;0;0;1
2;3560;0;0;0;0;0;2;False;0;0;1
2;3580;0;1;0;0;0;0;True;0;0;1
2;3600;0;0;0;0;0;2;False;0;0;1
2;3620;0;1;0;0;0;0;True;0;0;1
2;3640;0;1;0;0;0;0;True;0;0;1
2;3660;0;2;0;0;0;0;True;0;0;1
2;3680;0;2;0;0;0;0;True;0;0;1
2;3700;0;2;0;0;0;0;True;0;0;1
2;3720;0;2;0;0;0;0;True;0;0;1
2;3740;0;2;0;0;0;0;True;0;0;1
2;3760;0;2;0;0;0;0;True;0;0;1
2;3780;0;2;0;0;0;0;True;0;0;1
2;3800;0;2;0;0;0;0;True;0;0;1
2;3820;0;2;1;0;0;0;True;0;0;1
2;3840;0;2;0;0;0;0;True;0;0;1
2;3860;0;1;1;0;0;0;True;0;0;1
2;3880;0;1;0;0;0;0;True;0;0;1
1;3900;0;1;0;0;0;0;True;0;0;1
1;3920;0;0;0;1;0;0;False;0;0;1
1;3940;0;0;0;0;0;1;False;0;0;1
1;3960;0;0;1;0;0;0;False;0;0;1
