frameno;frametime;radious;cir_pos;color
212;0.115191936493;"[6.3639612]";"[(677, 20)]";"[0]"
213;0.109463214874;"[8.276473]";"[(677, 18)]";"[0]"
214;0.117101192474;"[7.1063352]";"[(677, 18)]";"[0]"
215;0.095184803009;"[7.905694]";"[(679, 17)]";"[0]"
216;0.111258983612;"[6.6708322]";"[(678, 16)]";"[0]"
217;0.115468025208;"[]";"[]";"[]"
218;0.116612911224;"[]";"[]";"[]"
219;0.0906219482422;"[]";"[]";"[]"
220;0.0924599170685;"[]";"[]";"[]"
221;0.113642930984;"[]";"[]";"[]"
222;0.113196134567;"[6.9641943]";"[(680, 12)]";"[0]"
223;0.118903875351;"[7.6485291]";"[(679, 11)]";"[0]"
224;0.116492986679;"[]";"[]";"[]"
225;0.0931398868561;"[]";"[]";"[]"
226;0.112940073013;"[6.5192022]";"[(680, 8)]";"[0]"
227;0.113425016403;"[]";"[]";"[]"
228;0.1169090271;"[7.6485291]";"[(679, 7)]";"[0]"
229;0.118510961533;"[7.5166483]";"[(679, 7)]";"[0]"
230;0.0923099517822;"[]";"[]";"[]"
231;0.0909218788147;"[5.7008772]";"[(683, 9)]";"[0]"
232;0.0912690162659;"[6.041523]";"[(683, 9)]";"[0]"
233;0.11717414856;"[5.7008772]";"[(684, 11)]";"[0]"
234;0.0944550037384;"[6.3639612]";"[(683, 10)]";"[0]"
235;0.108219146729;"[6.6708322]";"[(1469, 467)]";"[0]"
236;0.104960918427;"[]";"[]";"[]"
237;0.10721206665;"[]";"[]";"[]"
238;0.119465112686;"[5.7008772]";"[(682, 13)]";"[0]"
239;0.127068042755;"[5.7008772]";"[(683, 13)]";"[0]"
240;0.0996689796448;"[]";"[]";"[]"
241;0.0913751125336;"[]";"[]";"[]"
242;0.120604038239;"[7.6485291]";"[(686, 16)]";"[0]"
243;0.121549129486;"[6.041523]";"[(685, 20)]";"[0]"
244;0.0910708904266;"[]";"[]";"[]"
245;0.115618944168;"[]";"[]";"[]"
246;0.0977339744568;"[7.5166483, 7.3824115]";"[(685, 23), (421, 9)]";"[0, 0]"
247;0.107033967972;"[]";"[]";"[]"
248;0.120002985001;"[6.6708322]";"[(688, 25)]";"[0]"
249;0.124475002289;"[5.7008772]";"[(687, 29)]";"[0]"
250;0.0919210910797;"[]";"[]";"[]"
251;0.101037979126;"[]";"[]";"[]"
252;0.130745887756;"[6.6708322]";"[(420, 15)]";"[0]"
253;0.127509117126;"[6.6708322]";"[(685, 30)]";"[0]"
254;0.105412960052;"[7.905694]";"[(415, 15)]";"[0]"
255;0.0917530059814;"[6.6708322]";"[(418, 15)]";"[0]"
256;0.0918729305267;"[7.6485291]";"[(685, 27)]";"[0]"
257;0.106534957886;"[6.6708322]";"[(418, 13)]";"[0]"
258;0.126173019409;"[6.6708322]";"[(418, 13)]";"[0]"
259;0.137434959412;"[7.905694]";"[(683, 26)]";"[0]"
260;0.120549917221;"[7.3824115]";"[(418, 15)]";"[0]"
261;0.129781007767;"[7.3824115]";"[(419, 17)]";"[0]"
262;0.129875898361;"[7.905694]";"[(683, 33)]";"[0]"
263;0.091493844986;"[5.7008772]";"[(685, 37)]";"[0]"
264;0.102600097656;"[]";"[]";"[]"
265;0.0923728942871;"[7.905694, 6.6708322]";"[(689, 41), (422, 28)]";"[0, 0]"
266;0.113606929779;"[6.6708322, 5.7008772, 7.6485291]";"[(422, 32), (905, 192), (689, 45)]";"[0, 0, 0]"
267;0.116925954819;"[]";"[]";"[]"
268;0.123878002167;"[6.6708322]";"[(424, 44)]";"[0]"
269;0.119174003601;"[6.6708322, 5.7008772]";"[(426, 51), (689, 65)]";"[0, 0]"
270;0.110668897629;"[6.6708322]";"[(426, 59)]";"[0]"
271;0.0913860797882;"[6.6708322]";"[(426, 68)]";"[0]"
272;0.0941781997681;"[7.3824115, 6.6708322]";"[(689, 87), (426, 76)]";"[0, 0]"
273;0.0917239189148;"[8.5146933]";"[(689, 94)]";"[0]"
274;0.101628065109;"[6.6708322, 7.1063352]";"[(424, 89), (685, 101)]";"[0, 0]"
275;0.114422082901;"[6.6708322]";"[(424, 97)]";"[0]"
276;0.101782798767;"[5.7008772]";"[(423, 105)]";"[0]"
277;0.0887269973755;"[6.5192022]";"[(684, 123)]";"[0]"
278;0.113792181015;"[]";"[]";"[]"
279;0.0909011363983;"[]";"[]";"[]"
280;0.110069036484;"[6.041523, 5.7008772]";"[(683, 139), (897, 281)]";"[0, 0]"
281;0.121485948563;"[6.6708322]";"[(424, 131)]";"[0]"
282;0.0919029712677;"[7.5166483, 6.6708322]";"[(684, 148), (422, 136)]";"[0, 0]"
283;0.11771607399;"[7.6485291, 6.6708322]";"[(683, 155), (425, 143)]";"[0, 0]"
284;0.122210025787;"[7.6485291, 6.6708322]";"[(683, 161), (426, 149)]";"[0, 0]"
285;0.115809202194;"[5.7008772, 7.1063352]";"[(426, 155), (685, 167)]";"[0, 0]"
286;0.112814903259;"[6.6708322, 6.5192022]";"[(684, 172), (426, 158)]";"[0, 0]"
287;0.117687940598;"[6.041523]";"[(686, 175)]";"[0]"
288;0.121702194214;"[6.6708322]";"[(428, 166)]";"[0]"
289;0.122678041458;"[7.905694, 6.6708322]";"[(685, 183), (426, 170)]";"[0, 0]"
290;0.0909719467163;"[6.6708322]";"[(430, 175)]";"[0]"
291;0.112292051315;"[6.041523]";"[(689, 193)]";"[0]"
292;0.11238193512;"[]";"[]";"[]"
293;0.116389036179;"[6.6708322]";"[(432, 189)]";"[0]"
294;0.115852832794;"[]";"[]";"[]"
295;0.113838911057;"[6.6708322, 5.7008772]";"[(432, 200), (689, 213)]";"[0, 0]"
296;0.0913329124451;"[6.6708322, 6.041523]";"[(431, 206), (687, 219)]";"[0, 0]"
297;0.111396074295;"[]";"[]";"[]"
298;0.113929033279;"[6.6708322, 5.7008772]";"[(428, 217), (684, 231)]";"[0, 0]"
299;0.0892760753632;"[5.7008772]";"[(427, 221)]";"[0]"
300;0.113574981689;"[6.5192022, 6.6708322]";"[(685, 236), (430, 224)]";"[0, 0]"
301;0.0947949886322;"[5.7008772, 5.7008772]";"[(685, 243), (429, 229)]";"[0, 0]"
302;0.112527132034;"[5.7008772]";"[(427, 234)]";"[0]"
303;0.110450029373;"[]";"[]";"[]"
304;0.118613958359;"[6.3639612, 6.6708322, 6.6708322]";"[(681, 255), (426, 241), (647, 449)]";"[0, 0, 0]"
305;0.116981983185;"[6.9641943, 6.6708322]";"[(682, 257), (426, 243)]";"[0, 0]"
306;0.0995759963989;"[7.905694, 5.7008772]";"[(679, 259), (423, 245)]";"[0, 0]"
307;0.0949330329895;"[]";"[]";"[]"
308;0.131042957306;"[6.6708322, 5.7008772]";"[(681, 263), (425, 249)]";"[0, 0]"
309;0.108638048172;"[6.5192022]";"[(426, 250)]";"[0]"
310;0.124626159668;"[6.6708322, 5.7008772]";"[(680, 268), (422, 252)]";"[0, 0]"
311;0.123398065567;"[6.3639612]";"[(679, 268)]";"[0]"
312;0.121601819992;"[6.3639612]";"[(679, 270)]";"[0]"
313;0.10507106781;"[7.905694]";"[(679, 273)]";"[0]"
314;0.122604846954;"[]";"[]";"[]"
315;0.0896167755127;"[5.7008772]";"[(421, 267)]";"[0]"
316;0.10072183609;"[7.5166483, 7.1063352]";"[(677, 287), (424, 272)]";"[0, 0]"
317;0.0982570648193;"[]";"[]";"[]"
318;0.115890026093;"[6.5192022, 6.9641943]";"[(678, 292), (424, 277)]";"[0, 0]"
319;0.0900590419769;"[6.6708322]";"[(422, 280)]";"[0]"
320;0.117312908173;"[6.6708322, 5.7008772]";"[(674, 300), (419, 284)]";"[0, 0]"
321;0.0888419151306;"[]";"[]";"[]"
322;0.0902500152588;"[6.6708322]";"[(420, 293)]";"[0]"
323;0.0892870426178;"[6.6708322, 5.7008772]";"[(674, 313), (419, 297)]";"[0, 0]"
324;0.109292984009;"[6.9641943]";"[(675, 315)]";"[0]"
325;0.111366987228;"[5.7008772]";"[(678, 321)]";"[0]"
326;0.12278008461;"[7.1063352, 5.7008772]";"[(678, 322), (423, 306)]";"[0, 0]"
327;0.111404180527;"[6.6708322, 6.6708322]";"[(678, 327), (426, 311)]";"[0, 0]"
328;0.115137815475;"[5.7008772]";"[(679, 333)]";"[0]"
329;0.090010881424;"[6.3639612]";"[(681, 337)]";"[0]"
330;0.106735944748;"[5.7008772]";"[(685, 345)]";"[0]"
331;0.0879600048065;"[]";"[]";"[]"
332;0.0962460041046;"[6.041523, 6.6708322, 5.7008772]";"[(695, 363), (444, 347), (899, 501)]";"[0, 0, 0]"
333;0.114833116531;"[6.6708322, 6.9641943]";"[(442, 355), (696, 370)]";"[0, 0]"
334;0.116052865982;"[5.7008772, 5.7008772]";"[(697, 379), (445, 363)]";"[0, 0]"
335;0.110632896423;"[7.905694]";"[(697, 383)]";"[0]"
336;0.118295192719;"[5.7008772]";"[(449, 372)]";"[0]"
337;0.113421201706;"[6.5192022]";"[(702, 390)]";"[0]"
338;0.119493961334;"[5.7008772, 6.6708322]";"[(451, 379), (702, 393)]";"[0, 0]"
339;0.119134187698;"[6.6708322, 6.5192022]";"[(704, 397), (452, 382)]";"[0, 0]"
340;0.127305984497;"[5.7008772]";"[(703, 401)]";"[0]"
341;0.120702028275;"[]";"[]";"[]"
342;0.10390496254;"[6.6708322]";"[(454, 391)]";"[0]"
343;0.113495826721;"[5.7008772]";"[(453, 395)]";"[0]"
344;0.0914120674133;"[6.041523]";"[(705, 413)]";"[0]"
345;0.113185882568;"[5.7008772]";"[(454, 403)]";"[0]"
346;0.126453876495;"[6.041523, 6.6708322]";"[(707, 421), (457, 408)]";"[0, 0]"
347;0.0918591022491;"[6.6708322]";"[(458, 411)]";"[0]"
348;0.105609178543;"[5.7008772]";"[(707, 429)]";"[0]"
349;0.128419160843;"[7.1063352]";"[(712, 431)]";"[0]"
350;0.1226978302;"[5.7008772]";"[(711, 435)]";"[0]"
351;0.141078948975;"[]";"[]";"[]"
352;0.127285957336;"[]";"[]";"[]"
353;0.0911860466003;"[5.7008772]";"[(710, 449)]";"[0]"
354;0.09707903862;"[]";"[]";"[]"
355;0.121930837631;"[5.7008772]";"[(461, 441)]";"[0]"
356;0.116822004318;"[5.7008772]";"[(713, 456)]";"[0]"
357;0.0894091129303;"[6.6708322]";"[(714, 459)]";"[0]"
358;0.11491894722;"[6.041523, 6.6708322]";"[(713, 461), (464, 448)]";"[0, 0]"
359;0.0924241542816;"[6.6708322, 6.3639612]";"[(711, 466), (463, 452)]";"[0, 0]"
360;0.103748083115;"[6.6708322, 5.7008772]";"[(710, 471), (461, 456)]";"[0, 0]"
361;0.111456871033;"[5.7008772]";"[(459, 460)]";"[0]"
362;0.110973119736;"[6.041523, 5.7008772]";"[(709, 481), (458, 465)]";"[0, 0]"
363;0.0896670818329;"[6.6708322]";"[(710, 483)]";"[0]"
364;0.114039897919;"[6.6708322]";"[(707, 484)]";"[0]"
365;0.0915389060974;"[6.6708322]";"[(457, 470)]";"[0]"
366;0.122268915176;"[6.6708322]";"[(705, 486)]";"[0]"
367;0.119019985199;"[]";"[]";"[]"
