frameno;frametime;recpoint;cir_pos;color
1705;0.0117661952972;"[0, 168, 552, 408]";"[(18, 275), (329, 301)]";"[1, 1]"
1706;0.0232191085815;"[0, 169, 552, 409]";"[(329, 299), (18, 273)]";"[1, 1]"
1707;0.0113310813904;"[0, 171, 552, 411]";"[(20, 273), (330, 299)]";"[1, 1]"
1708;0.0113599300385;"[0, 172, 552, 412]";"[(25, 275), (334, 301)]";"[1, 1]"
1709;0.0109910964966;"[0, 172, 552, 412]";"[(27, 275), (337, 301)]";"[1, 1]"
1710;0.0093150138855;"[0, 173, 552, 413]";"[(338, 302), (29, 276)]";"[1, 1]"
1711;0.00896096229553;"[0, 172, 552, 412]";"[(37, 276), (344, 302)]";"[1, 1]"
1712;0.00981521606445;"[0, 170, 552, 410]";"[(51, 280), (356, 305)]";"[1, 1]"
1713;0.0129730701447;"[27, 167, 579, 407]";"[(369, 309), (68, 285)]";"[1, 1]"
1714;0.0191359519958;"[51, 164, 603, 404]";"[(387, 312), (90, 289)]";"[1, 1]"
1715;0.0173931121826;"[71, 160, 623, 400]";"[(115, 293), (409, 315)]";"[1, 1]"
1716;0.0111179351807;"[91, 155, 643, 395]";"[(141, 295), (430, 316)]";"[1, 1]"
1717;0.00915884971619;"[106, 151, 658, 391]";"[(167, 297), (453, 317)]";"[1, 1]"
1718;0.0163900852203;"[117, 147, 669, 387]";"[(472, 314)]";"[1]"
1719;0.0105259418488;"[128, 142, 680, 382]";"[(491, 311), (211, 293)]";"[1, 1]"
1720;0.013699054718;"[140, 140, 692, 380]";"[(509, 308)]";"[1]"
1721;0.0112690925598;"[154, 138, 706, 378]";"[(525, 305), (250, 289)]";"[1, 1]"
1722;0.0151329040527;"[168, 136, 720, 376]";"[(265, 284)]";"[1]"
1723;0.0183169841766;"[188, 137, 740, 377]";"[(550, 291)]";"[1]"
1724;0.0101869106293;"[213, 140, 765, 380]";"[(559, 284), (289, 272)]";"[1, 1]"
1725;0.0137531757355;"[237, 143, 789, 383]";"[(566, 275)]";"[1]"
1726;0.0151178836823;"[256, 144, 808, 384]";"[(571, 272)]";"[1]"
1727;0.0101709365845;"[269, 145, 821, 385]";"[(578, 265), (310, 253)]";"[1, 1]"
1728;0.0155489444733;"[283, 146, 835, 386]";"[(585, 260), (318, 249)]";"[1, 1]"
1729;0.0188398361206;"[292, 147, 844, 387]";"[(594, 260)]";"[1]"
1730;0.0101110935211;"[299, 149, 851, 389]";"[(608, 260)]";"[1]"
1731;0.0133531093597;"[306, 150, 858, 390]";"[(625, 265)]";"[1]"
1732;0.0126688480377;"[309, 151, 861, 391]";"[(642, 272)]";"[1]"
1733;0.00971102714539;"[313, 152, 865, 392]";"[(658, 273)]";"[1]"
1734;0.0182800292969;"[316, 153, 868, 393]";"[(676, 270), (419, 263)]";"[1, 1]"
1735;0.0211961269379;"[317, 154, 869, 394]";"[(697, 271), (442, 265)]";"[1, 1]"
1736;0.010311126709;"[319, 154, 871, 394]";"[(715, 275)]";"[1]"
1737;0.0124909877777;"[320, 155, 872, 395]";"[(728, 277), (474, 271)]";"[1, 1]"
1738;0.021644115448;"[321, 155, 873, 395]";"[(735, 279), (483, 272)]";"[1, 1]"
1739;0.0171859264374;"[322, 155, 874, 395]";"[(739, 283)]";"[1]"
1740;0.0107140541077;"[323, 155, 875, 395]";"[(744, 284)]";"[1]"
1741;0.0132009983063;"[321, 154, 873, 394]";"[(748, 282)]";"[1]"
1742;0.0117602348328;"[320, 154, 872, 394]";"[(751, 281)]";"[1]"
1743;0.012836933136;"[318, 153, 870, 393]";"[(755, 283)]";"[1]"
1744;0.0143179893494;"[318, 155, 870, 395]";"[(758, 281)]";"[1]"
