frameno;frametime;filtertime;radious;cir_pos;color
102;0.11044216156;0.00179600715637;"[5.7008772, 6.5192022]";"[(791, 253), (548, 237)]";"[0, 0]"
103;0.0901861190796;0.00172281265259;"[6.6708322]";"[(789, 250)]";"[0]"
104;0.135231018066;0.00202798843384;"[6.6708322, 6.6708322]";"[(783, 248), (540, 233)]";"[0, 0]"
105;0.133329868317;0.00159287452698;"[6.6708322, 5.7008772]";"[(774, 247), (529, 231)]";"[0, 0]"
106;0.117419958115;0.00153994560242;"[5.7008772]";"[(763, 248)]";"[0]"
107;0.118973970413;0.00145196914673;"[5.7008772, 6.9641943, 5.7008772]";"[(505, 233), (754, 249), (957, 394)]";"[0, 0, 0]"
108;0.128819942474;0.00205016136169;"[6.5192022]";"[(744, 253)]";"[0]"
109;0.123183965683;0.00158309936523;"[6.041523]";"[(735, 257)]";"[0]"
110;0.144531965256;0.00165987014771;"[5.7008772]";"[(725, 261)]";"[0]"
111;0.135986804962;0.00156998634338;"[6.6708322, 5.7008772]";"[(711, 264), (461, 245)]";"[0, 0]"
112;0.104452848434;0.00131106376648;"[6.5192022, 5.7008772]";"[(697, 266), (444, 249)]";"[0, 0]"
113;0.105969905853;0.00150418281555;"[6.3639612]";"[(683, 269)]";"[0]"
114;0.119941949844;0.00186800956726;"[6.6708322, 6.5192022]";"[(670, 267), (413, 250)]";"[0, 0]"
115;0.119366884232;0.00156211853027;"[5.7008772]";"[(663, 261)]";"[0]"
116;0.0927228927612;0.00136804580688;"[5.7008772]";"[(409, 249)]";"[0]"
117;0.12379193306;0.00202798843384;"[7.3824115]";"[(667, 269)]";"[0]"
118;0.123761892319;0.00197100639343;"[6.5192022]";"[(661, 273)]";"[0]"
119;0.125763893127;0.00149488449097;"[6.5192022, 5.7008772]";"[(651, 275), (394, 263)]";"[0, 0]"
120;0.100748062134;0.00134110450745;"[6.6708322, 5.7008772]";"[(640, 274), (381, 261)]";"[0, 0]"
121;0.125404119492;0.0014910697937;"[5.7008772, 5.7008772]";"[(373, 257), (633, 272)]";"[0, 0]"
122;0.101766109467;0.00141215324402;"[7.905694, 5.7008772]";"[(633, 267), (371, 253)]";"[0, 0]"
123;0.110188961029;0.00140500068665;"[5.7008772, 5.7008772]";"[(375, 251), (846, 408)]";"[0, 0]"
124;0.118592977524;0.00140786170959;"[6.6708322, 5.7008772, 5.7008772]";"[(640, 263), (381, 251), (851, 405)]";"[0, 0, 0]"
125;0.108979940414;0.00142502784729;"[5.7008772, 5.7008772]";"[(389, 248), (859, 402)]";"[0, 0]"
126;0.114829063416;0.00139904022217;"[6.6708322, 5.7008772]";"[(653, 254), (395, 241)]";"[0, 0]"
127;0.101281881332;0.00140786170959;"[5.7008772, 5.7008772]";"[(401, 235), (659, 249)]";"[0, 0]"
128;0.1164021492;0.00174593925476;"[6.6708322, 6.6708322]";"[(662, 246), (402, 231)]";"[0, 0]"
129;0.10694694519;0.00131702423096;"[6.6708322, 5.7008772]";"[(662, 243), (405, 230)]";"[0, 0]"
130;0.120092868805;0.00181722640991;"[6.6708322, 6.6708322]";"[(406, 232), (662, 246)]";"[0, 0]"
131;0.111424207687;0.00181102752686;"[6.6708322, 5.7008772, 6.6708322]";"[(662, 247), (405, 235), (872, 390)]";"[0, 0, 0]"
132;0.106638908386;0.00186896324158;"[6.6708322]";"[(664, 249)]";"[0]"
133;0.115956068039;0.00149297714233;"[6.6708322, 5.7008772]";"[(406, 234), (665, 248)]";"[0, 0]"
134;0.0968761444092;0.00137805938721;"[6.3639612]";"[(669, 244)]";"[0]"
135;0.112546920776;0.00140500068665;"[5.7008772, 6.3639612]";"[(415, 229), (672, 243)]";"[0, 0]"
