frameno;frametime;red_count;green_count;red_pos;green_pos
579;0.0961909294128;2;0;"[[674.5, 615.5], [881.5, 749.5]]";"[]"
580;0.11557507515;2;0;"[[676.5, 607.5], [423.5, 600.5]]";"[]"
581;0.0880630016327;2;0;"[[881.5, 734.5], [677.5, 598.5]]";"[]"
582;0.114526033401;3;0;"[[677.5, 585.5], [883.5, 721.5], [424.5, 577.5]]";"[]"
583;0.112282037735;1;0;"[[423.5, 565.5]]";"[]"
584;0.113878011703;2;0;"[[675.5, 563.5], [420.5, 553.5]]";"[]"
585;0.106775045395;1;0;"[[675.5, 557.5]]";"[]"
586;0.113139152527;2;0;"[[679.5, 549.5], [424.5, 539.5]]";"[]"
587;0.0968239307404;2;0;"[[681.5, 543.5], [886.5, 679.5]]";"[]"
588;0.111438035965;0;0;"[]";"[]"
589;0.113952875137;1;0;"[[678.5, 538.5]]";"[]"
590;0.109445810318;1;0;"[[679.5, 534.5]]";"[]"
591;0.114817857742;2;0;"[[681.5, 529.5], [429.5, 519.5]]";"[]"
592;0.115033149719;1;0;"[[684.5, 524.5]]";"[]"
593;0.0876760482788;1;0;"[[684.5, 517.5]]";"[]"
594;0.0950429439545;2;0;"[[684.5, 509.5], [891.5, 643.5]]";"[]"
595;0.111449956894;1;0;"[[685.5, 499.5]]";"[]"
596;0.0891280174255;3;0;"[[687.5, 493.5], [892.5, 626.5], [436.5, 482.5]]";"[]"
597;0.114547967911;2;0;"[[688.5, 485.5], [437.5, 476.5]]";"[]"
598;0.109843969345;2;0;"[[438.5, 471.5], [690.5, 481.5]]";"[]"
599;0.117459058762;2;0;"[[688.5, 476.5], [438.5, 467.5]]";"[]"
600;0.0877180099487;3;0;"[[691.5, 469.5], [894.5, 604.5], [439.5, 459.5]]";"[]"
601;0.114647865295;1;0;"[[690.5, 459.5]]";"[]"
602;0.113992929459;2;0;"[[691.5, 445.5], [440.5, 436.5]]";"[]"
603;0.113851070404;1;0;"[[691.5, 433.5]]";"[]"
604;0.117928028107;1;0;"[[690.5, 420.5]]";"[]"
605;0.0931119918823;2;0;"[[690.5, 408.5], [436.5, 397.5]]";"[]"
606;0.112848997116;2;0;"[[690.5, 397.5], [436.5, 384.5]]";"[]"
607;0.105843067169;1;0;"[[689.5, 389.5]]";"[]"
608;0.122256994247;1;0;"[[688.5, 380.5]]";"[]"
609;0.117130041122;1;0;"[[687.5, 371.5]]";"[]"
610;0.116693973541;2;0;"[[688.5, 366.5], [436.5, 355.5]]";"[]"
611;0.109701871872;2;0;"[[689.5, 361.5], [896.5, 500.5]]";"[]"
612;0.0951709747314;2;0;"[[689.5, 356.5], [438.5, 346.5]]";"[]"
613;0.106292963028;2;0;"[[689.5, 351.5], [438.5, 340.5]]";"[]"
614;0.0863800048828;2;0;"[[692.5, 345.5], [898.5, 483.5]]";"[]"
615;0.111689090729;1;0;"[[692.5, 340.5]]";"[]"
616;0.128298044205;3;0;"[[440.5, 323.5], [899.5, 473.5], [692.5, 337.5]]";"[]"
617;0.113421916962;0;0;"[]";"[]"
618;0.0870699882507;2;0;"[[693.5, 326.5], [900.5, 464.5]]";"[]"
619;0.110397100449;1;0;"[[695.5, 323.5]]";"[]"
620;0.114130020142;1;0;"[[446.5, 309.5]]";"[]"
621;0.115942955017;1;0;"[[446.5, 310.5]]";"[]"
622;0.109699964523;2;0;"[[911.5, 457.5], [450.5, 309.5]]";"[]"
623;0.113758087158;2;0;"[[452.5, 303.5], [702.5, 314.5]]";"[]"
624;0.11260008812;1;0;"[[701.5, 309.5]]";"[]"
625;0.102464914322;0;0;"[]";"[]"
626;0.106472969055;0;0;"[]";"[]"
627;0.108748197556;2;0;"[[702.5, 291.5], [450.5, 281.5]]";"[]"
628;0.110724925995;2;0;"[[704.5, 289.5], [452.5, 280.5]]";"[]"
629;0.110234975815;0;0;"[]";"[]"
630;0.109293937683;1;0;"[[705.5, 287.5]]";"[]"
631;0.0923979282379;2;0;"[[705.5, 285.5], [452.5, 274.5]]";"[]"
632;0.0868790149689;1;0;"[[705.5, 282.5]]";"[]"
633;0.0868449211121;1;0;"[[705.5, 280.5]]";"[]"
634;0.118662118912;0;0;"[]";"[]"
635;0.125362157822;2;0;"[[454.5, 265.5], [706.5, 275.5]]";"[]"
636;0.118088960648;2;0;"[[452.5, 262.5], [706.5, 274.5]]";"[]"
637;0.126816034317;1;0;"[[706.5, 268.5]]";"[]"
638;0.116915941238;2;0;"[[706.5, 267.5], [454.5, 255.5]]";"[]"
639;0.0885660648346;2;0;"[[708.5, 263.5], [454.5, 252.5]]";"[]"
640;0.111851930618;1;0;"[[707.5, 260.5]]";"[]"
641;0.114596128464;2;0;"[[454.5, 246.5], [707.5, 258.5]]";"[]"
642;0.114104032516;2;0;"[[452.5, 244.5], [708.5, 253.5]]";"[]"
643;0.111019849777;2;0;"[[708.5, 252.5], [456.5, 242.5]]";"[]"
