frameno;frametime;radious;cir_pos;color
631;0.103110074997;"[7.3824115, 6.6708322]";"[(705.5, 285.5), (452.5, 274.5)]";"[0, 0]"
632;0.113419055939;"[5.7008772]";"[(705.5, 282.5)]";"[0]"
633;0.129593849182;"[5.7008772]";"[(705.5, 280.5)]";"[0]"
634;0.148279905319;"[]";"[]";"[]"
635;0.141288995743;"[6.6708322, 6.6708322]";"[(454.5, 265.5), (706.5, 275.5)]";"[0, 0]"
636;0.125524044037;"[6.6708322, 6.6708322]";"[(452.5, 262.5), (706.5, 274.5)]";"[0, 0]"
637;0.120171070099;"[6.5192022]";"[(706.5, 268.5)]";"[0]"
638;0.108531951904;"[6.6708322, 6.6708322]";"[(706.5, 267.5), (454.5, 255.5)]";"[0, 0]"
639;0.113312005997;"[6.9641943, 6.5192022]";"[(708.5, 263.5), (454.5, 252.5)]";"[0, 0]"
640;0.13369512558;"[6.6708322]";"[(707.5, 260.5)]";"[0]"
641;0.0916039943695;"[6.5192022, 6.3639612]";"[(454.5, 246.5), (707.5, 258.5)]";"[0, 0]"
642;0.124714851379;"[6.6708322, 5.7008772]";"[(452.5, 244.5), (708.5, 253.5)]";"[0, 0]"
643;0.125470876694;"[6.6708322, 6.6708322]";"[(708.5, 252.5), (456.5, 242.5)]";"[0, 0]"
644;0.12627696991;"[5.7008772, 5.7008772]";"[(710.5, 245.5), (920.5, 388.5)]";"[0, 0]"
645;0.129673957825;"[6.041523, 6.5192022]";"[(711.5, 241.5), (458.5, 230.5)]";"[0, 0]"
646;0.129324913025;"[7.1063352, 6.6708322]";"[(713.5, 232.5), (460.5, 222.5)]";"[0, 0]"
647;0.123771905899;"[6.041523]";"[(715.5, 227.5)]";"[0]"
648;0.127738952637;"[7.1063352, 6.5192022]";"[(715.5, 221.5), (462.5, 212.5)]";"[0, 0]"
649;0.133426904678;"[6.3639612, 6.6708322]";"[(717.5, 220.5), (926.5, 360.5)]";"[0, 0]"
650;0.131168842316;"[6.6708322, 5.7008772, 5.7008772]";"[(717.5, 218.5), (929.5, 357.5), (464.5, 207.5)]";"[0, 0, 0]"
651;0.0994038581848;"[6.041523, 5.7008772]";"[(718.5, 215.5), (465.5, 206.5)]";"[0, 0]"
652;0.115665912628;"[6.6708322, 5.7008772]";"[(468.5, 203.5), (721.5, 211.5)]";"[0, 0]"
