frameno;frametime;recpoint;cir_pos;color
5056;0.0118100643158;"[55, 104, 801, 344]";"[(498, 247)]";"[0]"
5057;0.0136969089508;"[56, 105, 802, 345]";"[(276, 224)]";"[0]"
5058;0.0142588615417;"[56, 107, 802, 347]";"[(254, 224), (466, 246)]";"[0, 0]"
5059;0.0140340328217;"[55, 107, 801, 347]";"[(455, 247)]";"[0]"
5060;0.0804078578949;"[55, 105, 801, 345]";"[(455, 247)]";"[0]"
5061;0.0145559310913;"[55, 103, 801, 343]";"[(233, 226)]";"[0]"
5062;0.0635161399841;"[55, 102, 801, 342]";"[(233, 226)]";"[0]"
5063;0.0114331245422;"[55, 103, 801, 343]";"[(450, 253), (238, 231)]";"[0, 0]"
5064;0.0119779109955;"[55, 105, 801, 345]";"[(226, 228)]";"[0]"
5065;0.0670540332794;"[56, 106, 802, 346]";"[(226, 228)]";"[0]"
5066;0.0870440006256;"[56, 108, 802, 348]";"[(226, 228)]";"[0]"
5067;0.0147731304169;"[56, 109, 802, 349]";"[(187, 229), (406, 249)]";"[0, 0]"
5068;0.0161190032959;"[56, 110, 802, 350]";"[(195, 235), (411, 255)]";"[0, 0]"
5069;0.0156400203705;"[56, 111, 802, 351]";"[(420, 260)]";"[0]"
5070;0.0143780708313;"[56, 111, 802, 351]";"[(429, 264), (214, 247)]";"[0, 0]"
5071;0.0138399600983;"[56, 110, 802, 350]";"[(217, 250)]";"[0]"
5072;0.0821871757507;"[56, 109, 802, 349]";"[(217, 250)]";"[0]"
5073;0.011871099472;"[56, 108, 802, 348]";"[(220, 255)]";"[0]"
5074;0.0142090320587;"[56, 108, 802, 348]";"[(223, 259), (435, 276)]";"[0, 0]"
5075;0.0127141475677;"[56, 107, 802, 347]";"[(227, 262)]";"[0]"
5076;0.0539970397949;"[56, 105, 802, 345]";"[(227, 262)]";"[0]"
5077;0.0177249908447;"[56, 104, 802, 344]";"[(226, 262)]";"[0]"
5078;0.0961799621582;"[56, 104, 802, 344]";"[(226, 262)]";"[0]"
5079;0.0147569179535;"[57, 104, 803, 344]";"[(202, 248)]";"[0]"
5080;0.0652079582214;"[57, 104, 803, 344]";"[(202, 248)]";"[0]"
5081;0.042466878891;"[57, 104, 803, 344]";"[(670, 395)]";"[0]"
5082;0.0955009460449;"[151, 278, 800, 518]";"[(670, 395)]";"[0]"
5083;0.0419528484344;"[151, 285, 800, 525]";"[(220, 249)]";"[0]"
5084;0.081353187561;"[49, 12, 689, 252]";"[(228, 249), (440, 264)]";"[0, 0]"
5085;0.0152299404144;"[108, 146, 560, 401]";"[(236, 246)]";"[0]"
5086;0.0149190425873;"[107, 181, 559, 436]";"[(455, 259), (244, 243)]";"[0, 0]"
5087;0.0725522041321;"[105, 231, 557, 486]";"[(455, 259), (244, 243)]";"[0, 0]"
5088;0.0283901691437;"[103, 283, 555, 538]";"[(457, 257), (246, 238)]";"[0, 0]"
5089;0.0587229728699;"[121, 110, 572, 369]";"[(457, 257), (246, 238)]";"[0, 0]"
5090;0.0091028213501;"[122, 139, 573, 398]";"[(455, 263), (243, 245)]";"[0, 0]"
5091;0.0101599693298;"[124, 120, 575, 379]";"[(453, 266)]";"[0]"
5092;0.00919890403748;"[125, 63, 576, 322]";"[(235, 255), (448, 274)]";"[0, 0]"
5093;0.00995397567749;"[125, 100, 576, 359]";"[(436, 282)]";"[0]"
5094;0.0102338790894;"[125, 146, 576, 405]";"[(213, 270), (427, 294)]";"[0, 0]"
5095;0.0111970901489;"[125, 57, 576, 316]";"[(426, 299), (213, 273)]";"[0, 0]"
5096;0.0202441215515;"[125, 0, 576, 259]";"[(230, 270), (440, 297)]";"[0, 0]"
5097;0.0114691257477;"[86, 142, 536, 409]";"[(465, 287), (257, 264)]";"[0, 0]"
5098;0.0209288597107;"[86, 140, 536, 407]";"[(277, 259)]";"[0]"
5099;0.0162551403046;"[86, 137, 536, 404]";"[(267, 251), (476, 274)]";"[0, 0]"
5100;0.0103290081024;"[86, 133, 536, 400]";"[(459, 265)]";"[0]"
5101;0.0193870067596;"[86, 131, 536, 398]";"[(247, 235)]";"[0]"
5102;0.0130999088287;"[87, 135, 537, 402]";"[(260, 235)]";"[0]"
5103;0.012757062912;"[87, 140, 537, 407]";"[(280, 235), (487, 255)]";"[0, 0]"
5104;0.0107820034027;"[87, 140, 537, 407]";"[(283, 233), (490, 252)]";"[0, 0]"
5105;0.012433052063;"[88, 140, 538, 407]";"[(484, 249), (275, 230)]";"[0, 0]"
