frameno;frametime;colorfiltertime;circledettime;radious;cir_pos;color
56;0.123785972595;0.0540239810944;0.0447251796722;"[8.6313381, 9.1923885, 8.5146933, 7.6485291]";"[(452.5, 294.5), (704.5, 310.5), (894.5, 472.5), (974.5, 521.5)]";"[0, 0, 0, 1]"
57;0.11276102066;0.0491349697113;0.0421640872955;"[7.905694, 7.7781744, 9.5131493, 7.7781744, 7.905694]";"[(449.5, 291.5), (646.5, 558.5), (703.5, 308.5), (1339.5, 547.5), (973.5, 521.5)]";"[0, 0, 0, 0, 1]"
58;0.11385011673;0.0499529838562;0.0424630641937;"[7.905694, 8.7464275, 5.7008772, 7.905694]";"[(449.5, 289.5), (703.5, 305.5), (672.5, 497.5), (973.5, 519.5)]";"[0, 0, 0, 1]"
59;0.116918087006;0.0514450073242;0.0432901382446;"[7.6485291, 9.1923885, 6.6708322, 7.6485291]";"[(448.5, 286.5), (703.5, 304.5), (648.5, 553.5), (972.5, 517.5)]";"[0, 0, 0, 1]"
60;0.114598035812;0.0498950481415;0.0428860187531;"[8.6313381, 9.1923885, 5.7008772]";"[(450.5, 287.5), (703.5, 303.5), (971.5, 514.5)]";"[0, 0, 1]"
61;0.111249923706;0.0484879016876;0.042013168335;"[8.5146933, 8.8600225, 7.905694]";"[(449.5, 286.5), (703.5, 304.5), (973.5, 516.5)]";"[0, 0, 1]"
62;0.11576795578;0.0504879951477;0.0433189868927;"[8.8600225, 9.3005381, 7.1063352, 5.7008772]";"[(450.5, 288.5), (705.5, 304.5), (913.5, 533.5), (972.5, 516.5)]";"[0, 0, 0, 1]"
63;0.109804868698;0.048898935318;0.0424361228943;"[7.7781744, 7.5166483]";"[(451.5, 288.5), (976.5, 517.5)]";"[0, 1]"
64;0.118443965912;0.052453994751;0.044392824173;"[7.905694, 8.8600225, 6.6708322, 7.6485291]";"[(454.5, 287.5), (708.5, 304.5), (667.5, 552.5), (978.5, 516.5)]";"[0, 0, 0, 1]"
65;0.119421958923;0.0526609420776;0.0445249080658;"[9.1923885, 8.8600225, 5.7008772, 7.6485291]";"[(710.5, 301.5), (456.5, 286.5), (930.5, 435.5), (979.5, 514.5)]";"[0, 0, 0, 1]"
66;0.119954109192;0.0537559986115;0.0450940132141;"[8.7464275, 6.6708322, 7.1063352]";"[(457.5, 281.5), (1374.5, 534.5), (980.5, 510.5)]";"[0, 0, 1]"
67;0.0885810852051;0.0372831821442;0.0377509593964;"[8.6313381, 8.7464275, 6.6708322]";"[(458.5, 275.5), (711.5, 294.5), (983.5, 506.5)]";"[0, 0, 1]"
68;0.0882880687714;0.0369482040405;0.0378999710083;"[8.6313381, 8.8600225, 5.7008772]";"[(459.5, 270.5), (712.5, 286.5), (980.5, 501.5)]";"[0, 0, 1]"
69;0.113488912582;0.0502460002899;0.0431599617004;"[8.8600225, 9.1923885, 6.6708322]";"[(459.5, 266.5), (713.5, 283.5), (981.5, 497.5)]";"[0, 0, 1]"
70;0.116392850876;0.0517611503601;0.0439870357513;"[9.5131493, 9.1923885, 7.6485291]";"[(459.5, 263.5), (713.5, 281.5), (982.5, 495.5)]";"[0, 0, 1]"
71;0.0877420902252;0.0368528366089;0.0375068187714;"[8.7464275, 9.3005381, 7.6485291]";"[(714.5, 278.5), (459.5, 259.5), (982.5, 492.5)]";"[0, 0, 1]"
72;0.105662107468;0.0466680526733;0.0409579277039;"[8.7464275, 6.6708322, 6.6708322]";"[(460.5, 256.5), (716.5, 270.5), (944.5, 485.5)]";"[0, 0, 1]"
73;0.088033914566;0.0369989871979;0.0376329421997;"[8.6313381, 5.7008772, 8.7464275]";"[(462.5, 250.5), (935.5, 407.5), (715.5, 267.5)]";"[0, 0, 0]"
74;0.0977499485016;0.0439538955688;0.0372338294983;"[8.7464275]";"[(715.5, 260.5)]";"[0]"
75;0.112035989761;0.0499179363251;0.0425457954407;"[8.8600225, 6.6708322]";"[(460.5, 236.5), (985.5, 470.5)]";"[0, 1]"
76;0.119254827499;0.0532758235931;0.0444948673248;"[6.6708322, 9.1923885, 8.276473, 7.7781744]";"[(911.5, 426.5), (713.5, 246.5), (459.5, 228.5), (985.5, 464.5)]";"[0, 0, 0, 1]"
77;0.112082004547;0.050302028656;0.0401241779327;"[9.3005381, 7.7781744]";"[(712.5, 234.5), (459.5, 225.5)]";"[0, 0]"
78;0.0854849815369;0.0362620353699;0.0346059799194;"[8.5146933, 9.1923885, 7.1063352]";"[(457.5, 208.5), (713.5, 229.5), (1415.5, 468.5)]";"[0, 0, 0]"
79;0.0859758853912;0.0370979309082;0.0346300601959;"[8.8600225, 8.276473, 8.7464275, 6.6708322]";"[(456.5, 202.5), (1443.5, 448.5), (712.5, 222.5), (984.5, 436.5)]";"[0, 0, 0, 1]"
80;0.0864589214325;0.0366320610046;0.0351450443268;"[8.8600225, 9.1923885, 6.3639612]";"[(710.5, 212.5), (455.5, 195.5), (982.5, 430.5)]";"[0, 0, 1]"
81;0.115948200226;0.0525579452515;0.0415101051331;"[7.905694, 7.3824115, 6.6708322]";"[(455.5, 194.5), (1448.5, 436.5), (984.5, 426.5)]";"[0, 0, 1]"
82;0.115454912186;0.0521538257599;0.0418300628662;"[8.8600225, 8.276473, 8.276473]";"[(708.5, 202.5), (451.5, 185.5), (1449.5, 433.5)]";"[0, 0, 0]"
83;0.112416982651;0.0501708984375;0.0404918193817;"[5.7008772, 9.1923885, 7.905694, 7.1063352]";"[(1421.5, 437.5), (450.5, 184.5), (709.5, 203.5), (980.5, 418.5)]";"[0, 0, 0, 1]"
84;0.115351915359;0.0520761013031;0.0416460037231;"[7.6485291, 8.6313381, 7.3824115]";"[(451.5, 182.5), (708.5, 202.5), (981.5, 418.5)]";"[0, 0, 1]"
85;0.114639043808;0.0513968467712;0.0412540435791;"[7.905694, 8.6313381, 7.905694]";"[(448.5, 183.5), (707.5, 203.5), (979.5, 420.5)]";"[0, 0, 1]"
86;0.116791963577;0.0524640083313;0.0420651435852;"[8.7464275, 7.905694, 8.276473]";"[(449.5, 186.5), (705.5, 203.5), (979.5, 422.5)]";"[0, 0, 1]"
