ann_cir;frameno;red_tp;green_tp;red_fp;green_fp;red_fn;green_fn;Frame;rfp_con;gfp_con;color
2;550;0;1;0;0;0;0;True;0;0;1
1;560;0;0;0;1;0;0;False;0;0;1
1;570;0;1;0;1;0;0;True;0;0;1
1;600;0;1;1;1;0;0;True;0;0;1
1;610;0;0;0;1;0;0;False;0;0;1
1;620;0;1;0;0;0;0;True;0;0;1
2;630;0;1;0;0;0;0;True;0;0;1
2;640;0;1;0;0;0;0;True;0;0;1
2;650;0;1;0;0;0;0;True;0;0;1
1;660;0;0;0;1;0;0;False;0;0;1
1;670;0;1;0;0;0;0;True;0;0;1
1;680;0;1;0;0;0;0;True;0;0;1
1;690;0;1;0;0;0;0;True;0;0;1
1;700;0;1;0;0;0;0;True;0;0;1
1;710;0;1;1;0;0;0;True;0;0;1
1;720;0;1;0;1;0;0;True;0;0;1
1;730;0;1;0;0;0;0;True;0;0;1
1;740;0;1;0;0;0;0;True;0;0;1
1;750;0;1;0;0;0;0;True;0;0;1
1;760;0;1;0;0;0;0;True;0;0;1
1;770;0;1;0;0;0;0;True;0;0;1
1;780;0;1;0;0;0;0;True;0;0;1
1;790;0;1;0;0;0;0;True;0;0;1
1;800;0;1;0;0;0;0;True;0;0;1
1;810;0;1;0;0;0;0;True;0;0;1
1;910;0;0;0;0;0;1;False;0;0;1
1;1090;1;0;0;0;0;0;True;0;0;0
2;1100;2;0;0;0;0;0;True;0;0;0
2;1110;1;0;0;0;0;0;True;0;0;0
2;1120;2;0;0;0;0;0;True;0;0;0
2;1130;2;0;0;0;0;0;True;0;0;0
2;1140;2;0;0;0;0;0;True;0;0;0
2;1150;1;0;0;0;0;0;True;0;0;0
2;1160;2;0;0;0;0;0;True;0;0;0
2;1170;2;0;0;0;0;0;True;0;0;0
2;1180;2;0;0;0;0;0;True;0;0;0
2;1190;1;0;0;0;0;0;True;0;0;0
2;1200;1;0;0;0;0;0;True;0;0;0
2;1210;1;0;0;0;0;0;True;0;0;0
