frameno;frametime;colorfiltertime;circledettime;radious;cir_pos;color
3568;0.0922417640686;0.0404000282288;0.0373539924622;"[6.5192022, 5.7008772, 6.6708322]";"[(1513.5, 346.5), (1283.5, 337.5), (1728.5, 480.5)]";"[0, 0, 0]"
3569;0.119333982468;0.0477011203766;0.0498199462891;"[6.5192022]";"[(1501.5, 346.5)]";"[0]"
3570;0.114737033844;0.0490930080414;0.0467829704285;"[6.5192022]";"[(1487.5, 347.5)]";"[0]"
3571;0.0992331504822;0.0403339862823;0.0421738624573;"[6.6708322]";"[(1472.5, 350.5)]";"[0]"
3572;0.0956878662109;0.0390770435333;0.0420620441437;"[6.6708322]";"[(1458.5, 352.5)]";"[0]"
3573;0.119735956192;0.0507910251617;0.0457561016083;"[6.5192022, 5.7008772]";"[(1445.5, 354.5), (612.5, 448.5)]";"[0, 0]"
3574;0.0990579128265;0.0397849082947;0.0448548793793;"[5.7008772]";"[(595.5, 448.5)]";"[0]"
3575;0.0974678993225;0.03875207901;0.0421690940857;"[5.7008772, 5.7008772, 5.5226803]";"[(581.5, 449.5), (1620.5, 518.5), (1023.5, 596.5)]";"[0, 0, 0]"
3576;0.0950269699097;0.0386741161346;0.0421009063721;"[6.6708322, 5.7008772, 5.7008772]";"[(1397.5, 358.5), (565.5, 451.5), (1598.5, 491.5)]";"[0, 0, 0]"
3577;0.119390964508;0.0519950389862;0.0472609996796;"[5.7008772, 5.7008772]";"[(1382.5, 362.5), (1161.5, 351.5)]";"[0, 0]"
3578;0.114268064499;0.0477321147919;0.0446360111237;"[5.7008772]";"[(1366.5, 363.5)]";"[0]"
3579;0.144906044006;0.0655689239502;0.0528900623322;"[5.7008772]";"[(1350.5, 365.5)]";"[0]"
3580;0.111291885376;0.0476539134979;0.0456380844116;"[5.7008772, 5.7008772]";"[(1333.5, 366.5), (1527.5, 496.5)]";"[0, 0]"
3581;0.100481987;0.0444440841675;0.0388679504395;"[5.7008772, 7.3824115, 5.7008772]";"[(1317.5, 364.5), (1059.5, 608.5), (1098.5, 353.5)]";"[0, 0, 0]"
3582;0.11238694191;0.0507838726044;0.0408520698547;"[5.7008772, 5.7008772, 7.1063352, 5.5226803]";"[(1087.5, 353.5), (1303.5, 365.5), (1069.5, 637.5), (1304.5, 395.5)]";"[0, 0, 0, 1]"
3583;0.118607997894;0.0536150932312;0.0427601337433;"[]";"[]";"[]"
3584;0.11190199852;0.0500848293304;0.0421860218048;"[]";"[]";"[]"
3585;0.121755123138;0.0572109222412;0.0425689220428;"[8.7464275]";"[(1101.5, 609.5)]";"[0]"
3586;0.126616001129;0.0543110370636;0.0499601364136;"[8.6313381, 5.5226803]";"[(1108.5, 611.5), (1229.5, 397.5)]";"[0, 1]"
3587;0.120275974274;0.0514960289001;0.0490028858185;"[6.6708322, 5.7008772]";"[(1116.5, 644.5), (1207.5, 396.5)]";"[0, 1]"
3588;0.116539001465;0.0473489761353;0.0445759296417;"[]";"[]";"[]"
3589;0.115612030029;0.05073595047;0.0461831092834;"[]";"[]";"[]"
3590;0.119550943375;0.0487949848175;0.0481939315796;"[8.8600225]";"[(1267.5, 503.5)]";"[1]"
3591;0.109213113785;0.0457429885864;0.0471329689026;"[9.5131493]";"[(497.5, 647.5)]";"[0]"
3592;0.116979122162;0.0475249290466;0.0475940704346;"[]";"[]";"[]"
3593;0.121543169022;0.0518109798431;0.0496869087219;"[7.5166483]";"[(469.5, 564.5)]";"[0]"
3594;0.115971803665;0.0495700836182;0.04678606987;"[7.905694]";"[(458.5, 565.5)]";"[0]"
3595;0.0961141586304;0.039341211319;0.0422120094299;"[]";"[]";"[]"
3596;0.117224931717;0.0513579845428;0.0445489883423;"[]";"[]";"[]"
3597;0.121191978455;0.051167011261;0.0508489608765;"[]";"[]";"[]"
3598;0.0894777774811;0.0384328365326;0.0365569591522;"[]";"[]";"[]"
3599;0.100432157516;0.0387630462646;0.0479879379272;"[]";"[]";"[]"
3600;0.0960538387299;0.0393838882446;0.0423250198364;"[9.1923885]";"[(312.5, 610.5)]";"[0]"
3601;0.0957407951355;0.0420429706573;0.0374209880829;"[]";"[]";"[]"
3602;0.0931649208069;0.0376770496368;0.0408530235291;"[6.5192022]";"[(1053.5, 505.5)]";"[1]"
3603;0.110945940018;0.0503718852997;0.0409739017487;"[]";"[]";"[]"
3604;0.115751028061;0.0521829128265;0.0420441627502;"[7.905694]";"[(283.5, 589.5)]";"[0]"
3605;0.0906279087067;0.0383081436157;0.0372710227966;"[]";"[]";"[]"
3606;0.118469953537;0.0511980056763;0.0474281311035;"[]";"[]";"[]"
3607;0.0965352058411;0.0387709140778;0.044420003891;"[]";"[]";"[]"
3608;0.106559038162;0.0443060398102;0.0438380241394;"[]";"[]";"[]"
3609;0.0992691516876;0.0414459705353;0.0428910255432;"[5.7008772]";"[(526.5, 640.5)]";"[0]"
3610;0.117028951645;0.0487139225006;0.0466299057007;"[]";"[]";"[]"
3611;0.0955200195312;0.0390770435333;0.0428810119629;"[7.6485291]";"[(892.5, 506.5)]";"[1]"
3612;0.0975198745728;0.0387539863586;0.0424501895905;"[6.6708322]";"[(454.5, 719.5)]";"[0]"
3613;0.112673044205;0.0463440418243;0.0481889247894;"[]";"[]";"[]"
3614;0.115475177765;0.04944896698;0.0463140010834;"[5.5226803, 5.7008772]";"[(721.5, 400.5), (497.5, 372.5)]";"[1, 1]"
3615;0.0957238674164;0.0388751029968;0.0426421165466;"[5.7008772, 7.905694]";"[(474.5, 374.5), (813.5, 515.5)]";"[1, 1]"
